Revision:   799
Variant:    Variant of FP_20_Online_P1_V3_ST
Units used: mm

Designator Comment              Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation MPN   
R10        "1K 1%"              TopLayer    0603                                            71.7014      14.5510      0        "1K 1% 0603"                         
R11        "49.9R 1%"           BottomLayer 0603                                            108.8482     6.5533       270      "49.9R 1% 0603"                      
R12        "49.9R 1%"           BottomLayer 0603                                            107.3242     6.5533       270      "49.9R 1% 0603"                      
R13        "49.9R 1%"           BottomLayer 0603                                            105.8002     6.5533       270      "49.9R 1% 0603"                      
R14        "49.9R 1%"           BottomLayer 0603                                            104.2762     6.5533       270      "49.9R 1% 0603"                      
R15        "49.9R 1%"           BottomLayer 0603                                            72.2111      11.5937      270      "49.9R 1% 0603"                      
R16        470R                 TopLayer    0603                                            90.1729      23.8914      0        "470R 5% 0603"                       
R17        "75R 1%"             BottomLayer 1206_N                                          103.8131     13.8202      0        "75R 1% 1206"                        
R18        "49.9R 1%"           BottomLayer 0603                                            108.0227     8.9028       0        "49.9R 1% 0603"                      
R19        51k                  BottomLayer 0603                                            115.6776     46.3816      0        "51k 5% 0603"                        
R20        10K                  BottomLayer 0603                                            98.5499      43.1543      270      "10k 5% 0603"                        
R21        22k                  BottomLayer 0603                                            95.9349      45.5890      180      "22k 5% 0603"                        
R22        51k                  TopLayer    0603                                            8.1538       18.1361      0        "51k 5% 0603"                        
R23        0R                   BottomLayer 0603                                            62.7230      26.5375      90       "0R 5% 0603"                         
R24        0R                   BottomLayer 0603                                            65.2630      26.5375      90       "0R 5% 0603"                         
R25        10K                  TopLayer    0603                                            63.6745      62.4271      90       "10K 5% 0603"                        
R26        0R                   BottomLayer 0603                                            69.0906      26.4940      90       "0R 5% 0603"                         
R28        0R                   BottomLayer 0603                                            71.6130      26.5375      90       "0R 5% 0603"                         
R29        0R                   BottomLayer 0603                                            64.8970      4.0422       270      "0R 5% 0603"                         
R30        10k                  TopLayer    0603                                            57.0705      62.3001      270      "10k 5% 0603"                        
R31        0R                   BottomLayer 0603                                            66.8913      4.0260       270      "0R 5% 0603"                         
R32        51K                  TopLayer    0603                                            58.5891      59.1734      270      "51k 5% 0603"                        
R33        10K                  TopLayer    0603                                            29.1047      11.9697      90       "10K 5% 0603"                        
R34        10k                  TopLayer    0603                                            34.4131      11.9963      90       "10K 5% 0603"                        
R35        51K                  TopLayer    0603                                            27.5787      11.8987      270      "51k 5% 0603"                        
R36        "22K 1%"             BottomLayer 0603                                            62.6220      61.7165      270      "22K 5% 0603"                        
R37        5k1                  TopLayer    0603                                            93.4254      22.3292      0        "5k1 5% 0603"                        
R50        100R                 TopLayer    0603                                            90.2611      17.2202      180      "100R 5% 0603"                       
R52        300R                 TopLayer    1206_N                                          25.2680      8.5549       0        "300R 5% 1206"                       
R53        100k                 BottomLayer 0603                                            105.9372     36.2660      270      "100k 5% 0603"                       
R54        100k                 BottomLayer 0603                                            98.0858      36.2660      270      "100k 5% 0603"                       
R55        100k                 BottomLayer 0603                                            104.3669     36.2660      270      "100k 5% 0603"                       
R56        100k                 BottomLayer 0603                                            102.7966     36.2660      270      "100k 5% 0603"                       
R64        "49.9R 1%"           BottomLayer 0603                                            104.9747     8.9028       180      "49.9R 1% 0603"                      
R66        51K                  BottomLayer 0603                                            91.4745      51.0867      180      "51k 5% 0603"                        
R67        1K                   BottomLayer 0603                                            70.0255      42.5000      180      "1K 5% 0603"                         
R69        "75R 1%"             TopLayer    1206_N                                          56.5640      29.0278      90       "75R 1% 1206"                        
R70        51K                  BottomLayer 0603                                            88.2982      51.1309      180      "51k 5% 0603"                        
R73        0R                   BottomLayer 0603                                            18.5109      23.9998      90       "0R 5% 0603"                         
R74        51K                  TopLayer    0603                                            77.9842      23.2070      0        "51K 5% 0603"                        
R75        51K                  TopLayer    0603                                            82.7690      27.3508      180      "51K 5% 0603"                        
R76        51K                  TopLayer    0603                                            82.8361      20.3618      0        "51K 5% 0603"                        
R77        51K                  TopLayer    0603                                            77.5714      16.5725      180      "51K 5% 0603"                        
R78        51K                  TopLayer    0603                                            13.6323      10.9587      0        "51K 5% 0603"                        
R79        51K                  TopLayer    0603                                            13.6323      9.3474       0        "51K 5% 0603"                        
R80        0R                   BottomLayer 0603                                            13.9458      24.0079      90       "0R 5% 0603"                         
R85        10K                  BottomLayer 0603                                            67.0195      44.0703      180      "10K 5% 0603"                        
R86        10K                  BottomLayer 0603                                            67.0354      45.6492      180      "10K 5% 0603"                        
R87        10K                  BottomLayer 0603                                            91.4668      49.6335      180      "10K 5% 0603"                        
R88        10K                  BottomLayer 0603                                            91.4899      48.2035      180      "10K 5% 0603"                        
R89        10K                  BottomLayer 0603                                            91.5053      46.7196      180      "10K 5% 0603"                        
R90        10K                  BottomLayer 0603                                            88.3483      46.7081      0        "10K 5% 0603"                        
R91        10K                  BottomLayer 0603                                            91.4592      52.5398      180      "10K 5% 0603"                        
R92        10K                  BottomLayer 0603                                            88.3452      52.5254      0        "10K 5% 0603"                        
R93        0R                   BottomLayer 1206_N                                          14.6979      16.8896      180      "0R 5% 0603"                         
R94        51K                  TopLayer    0603                                            95.3486      13.8153      90       "51K 5% 0603"                        
R95        51K                  TopLayer    0603                                            109.3485     18.2503      180      "51K 5% 0603"                        
R103       10K                  BottomLayer 0603                                            70.0255      44.0608      180      "10K 5% 0603"                        
R104       10K                  BottomLayer 0603                                            70.0255      45.6217      180      "10K 5% 0603"                        
R105       10K                  BottomLayer 0603                                            88.3452      49.6363      0        "10K 5% 0603"                        
R106       10K                  BottomLayer 0603                                            88.3483      48.2149      0        "10K 5% 0603"                        
R107       330R                 BottomLayer 0603                                            96.3245      5.2572       270      "330R 5% 0603"                       
R108       330R                 BottomLayer 0603                                            98.1328      5.2636       270      "330R 5% 0603"                       
R111       "12.4K 1%"           BottomLayer 0603                                            88.3452      43.8581      0        "12.4K 1% 0603"                      
R113       100R                 TopLayer    0603                                            77.5752      11.7691      180      "100R 5% 0603"                       
R114       100R                 TopLayer    0603                                            7.2580       9.3981       180      "100R 5% 0603"                       
R115       100R                 TopLayer    0603                                            7.2580       10.9789      180      "100R 5% 0603"                       
R118       5.1K                 BottomLayer 0603                                            76.2309      34.1975      180      "5.1K 5% 0603"                       
R136       10K                  TopLayer    0603                                            93.3784      18.9725      180      "10K 5% 0603"                        
R143       10K                  BottomLayer 0603                                            19.4495      12.5260      90       "10K 5% 0603"                        
R144       10K                  BottomLayer 0603                                            24.3751      18.0996      0        "10K 5% 0603"                        
R146       0R                   BottomLayer 0603                                            20.9695      12.5089      90       "0R 5% 0603"                         
R147       0R                   BottomLayer 0603                                            25.4485      10.5990      0        "0R 5% 0603"                         
R148       10K                  TopLayer    0603                                            82.1559      12.2321      90       "10K 5% 0603"                        
SW3        SKHHNKA010_ALPS      BottomLayer SWP_SKHHNKA010_ALPS                             58.3500      -5.0300      0        SKHHNKA010                           
T1         BC847A               TopLayer    SOT-23                                          68.2533      15.6769      180      BC847ALT1G                           
T2         BC807-40             TopLayer    SOT-23                                          90.1828      21.3178      0        BC807                                
T3         PDTC144ET            TopLayer    SOT-23                                          31.8032      12.1408      90       PDTC144ET                            
T4         PDTC144ET            TopLayer    SOT-23                                          31.9687      8.4212       270      PDTC144ET                            
